BubbleID,Frame,X,Y,Area
0,174,138,683,2094.5
0,175,138,676,2054.0
0,176,139,670,1976.5
0,177,139,663,2030.0
0,178,139,654,2410.5
0,179,138,646,2383.5
0,180,137,638,2460.5
0,181,136,630,2320.5
0,182,137,622,2307.0
0,183,136,614,2707.0
0,184,135,607,2921.5
0,185,133,602,2951.0
0,186,130,595,3171.5
0,187,127,588,3184.0
0,188,127,580,3096.5
0,189,125,572,3124.0
0,190,124,565,3074.5
0,191,124,558,2988.5
0,192,123,552,2941.0
0,193,122,545,2945.0
0,194,122,538,2912.5
0,195,120,530,3016.0
0,196,119,521,3006.5
0,197,120,514,3000.0
0,198,121,507,2879.5
0,199,123,499,2961.5
0,200,124,489,2920.0
0,201,126,481,2913.5
0,202,125,474,2896.0
0,203,128,467,2829.5
0,204,130,460,2812.0
0,205,130,454,2407.5
0,206,125,444,2846.5
0,207,125,435,3246.5
0,208,127,428,3493.5
0,209,126,421,3533.0
0,210,127,414,3535.0
0,211,126,406,3611.5
0,212,125,398,3816.0
0,213,125,390,3753.0
0,214,124,381,3683.5
0,215,121,373,3509.5
0,216,119,364,3367.5
0,217,116,356,3334.0
0,218,116,349,3320.0
0,219,115,342,3288.0
0,220,115,334,3125.0
0,221,113,327,2833.0
0,222,113,317,2793.0
0,223,113,309,2650.0
0,224,112,302,2666.0
0,225,112,296,2583.5
0,226,111,289,2588.5
0,227,111,282,2624.0
0,228,109,276,2416.5
0,229,110,267,2540.5
0,230,109,259,2868.0
0,231,108,250,3050.0
0,232,108,241,3054.0
0,233,109,234,3308.5
0,234,108,226,3416.5
0,235,108,220,3583.0
0,236,108,212,3718.0
0,237,108,206,3755.5
0,238,109,198,3536.5
0,239,109,188,3486.5
0,240,110,180,3484.5
0,241,111,173,3603.5
0,242,113,167,3529.5
0,243,115,159,3443.5
0,244,115,150,3149.0
0,245,116,142,2988.5
0,246,118,134,2888.5
0,247,120,127,2684.5
0,248,122,119,2596.0
0,249,123,111,2402.5
0,250,120,102,2064.0
0,251,120,92,2328.5
0,252,120,85,2367.0
0,253,121,78,2288.5
0,254,119,69,2202.0
0,255,116,61,2194.0
0,256,115,52,2300.5
0,257,114,45,2281.5
0,258,115,37,2245.5
0,259,114,28,2068.5
0,260,114,20,2196.0
1,275,139,682,2172.0
1,276,137,675,2054.5
1,277,137,669,2037.0
1,278,139,663,1986.0
1,279,139,654,2207.5
1,280,139,646,2243.0
1,281,138,637,2394.0
1,282,137,629,2338.5
1,283,137,621,2293.5
1,284,137,612,2539.5
1,285,136,605,2690.0
1,286,135,598,2709.5
1,287,132,591,2937.0
1,288,132,583,3030.0
1,289,131,575,3057.0
1,290,131,568,2955.5
1,291,131,560,2875.5
1,292,132,551,2910.0
1,293,132,543,2961.0
1,294,134,533,2613.0
1,295,137,523,2523.0
1,296,137,515,2396.5
1,297,136,508,2416.0
1,298,136,499,2271.5
1,299,136,490,2251.0
1,300,136,480,2400.5
1,301,138,471,2366.5
1,302,139,464,2388.0
1,303,139,456,2297.0
1,304,141,448,2341.5
1,305,143,440,2669.0
1,306,147,433,3021.0
1,307,151,427,3087.5
1,308,155,420,2969.5
1,309,158,413,3076.0
1,310,161,405,3300.5
1,311,165,398,3282.0
1,312,168,390,3397.5
1,313,172,383,3304.0
1,314,176,377,3498.0
1,315,176,367,3842.5
1,316,177,358,3863.0
1,317,178,348,3561.5
1,318,177,338,3400.5
1,319,175,328,3132.5
1,320,175,317,3208.5
1,321,173,309,3285.5
1,322,172,301,3186.5
1,323,171,293,3043.0
1,324,170,285,2969.5
1,325,169,278,2805.5
1,326,167,270,2777.5
1,327,163,261,2674.5
1,328,164,252,2596.5
1,329,162,242,2363.5
1,330,162,234,2493.0
1,331,162,225,2532.0
1,332,160,217,2466.0
1,333,157,209,2270.5
1,334,157,200,2302.5
1,335,156,192,2307.0
1,336,153,183,2541.5
1,337,152,174,2686.5
1,338,148,166,2735.0
1,339,147,157,2890.0
1,340,146,149,2940.5
1,341,160,164,6181.0
1,342,158,150,5845.0
1,343,157,138,5898.0
1,344,154,126,5047.0
1,345,154,118,4621.0
1,346,158,104,4954.0
1,347,159,96,4964.5
1,348,163,87,4695.0
1,349,164,80,4632.0
1,350,166,71,4471.5
1,351,170,61,4449.5
1,352,169,53,4336.0
1,353,171,46,4239.5
1,354,170,41,4035.0
1,355,167,41,2576.5
1,356,172,32,2126.5
1,357,175,21,1874.0
1,358,165,16,1027.5
2,294,139,679,2109.0
2,295,139,673,2020.0
2,296,139,665,1948.5
2,297,139,656,2062.5
2,298,138,647,2030.0
2,299,138,638,2015.5
2,300,137,629,1995.0
2,301,139,617,2119.0
2,302,140,607,2222.5
2,303,141,598,2196.5
2,304,143,587,2327.5
2,305,148,576,2333.5
2,306,153,566,2352.5
2,307,158,557,2330.0
2,308,163,547,2269.5
2,309,168,535,2073.5
2,310,169,524,2106.0
2,311,170,514,2111.0
2,312,171,504,2093.0
2,313,172,493,2158.0
2,314,173,482,2398.0
2,315,176,473,2607.5
2,316,179,465,2710.0
2,317,181,458,2702.5
2,318,179,447,2828.5
2,319,174,436,2803.5
2,320,170,424,2790.0
2,321,168,414,2791.0
2,322,164,401,2916.5
2,323,160,390,2926.5
2,324,156,379,2735.5
2,325,151,366,2559.0
2,326,149,351,2400.0
2,327,148,339,2302.0
2,328,149,326,2217.5
2,329,152,312,2367.0
2,330,155,299,2240.0
2,331,156,289,2052.5
2,332,156,279,1965.0
2,333,156,270,1993.0
2,334,157,259,2071.5
2,335,158,249,2244.5
2,336,160,236,2275.0
2,337,164,226,2447.0
2,338,168,217,2666.0
2,339,172,209,2830.5
2,340,174,200,2940.5
3,324,139,681,2167.5
3,325,138,674,2136.5
3,326,138,668,2120.5
3,327,138,659,2168.5
3,328,139,651,2306.5
3,329,139,643,2156.5
3,330,139,635,2217.0
3,331,138,626,2237.5
3,332,140,616,2336.0
3,333,140,608,2449.5
3,334,138,601,2647.5
3,335,137,593,2913.5
3,336,137,585,3035.0
3,337,142,575,3153.0
3,338,144,567,3212.5
3,339,149,558,3198.5
3,340,152,550,3090.0
3,341,154,542,2900.0
3,342,157,532,2784.0
3,343,160,524,2727.5
3,344,163,516,2699.5
3,345,166,508,2633.5
3,346,167,501,2421.0
3,347,170,490,2457.0
3,348,172,480,2488.0
3,349,175,471,2488.5
